"id","balance","account","description","status","date"
1,10.5,"INTERNAL","Descripción 1","asdada","2023-10-23T20:04:25.403Z"
2,11.5,"PEOPLE","Descripción 2","PROCESSED","2023-10-23T20:04:25.403Z"
3,12.5,"OPERATION","Descripción 3","PENDING","2023-10-23T20:04:25.403Z"
4,13.5,"INTERNAL","Descripción 4","PROCESSED","2023-10-23T20:04:25.403Z"
5,14.5,"PEOPLE","Descripción 5","PENDING","2023-10-23T20:04:25.403Z"
6,15.5,"OPERATION","Descripción 6","PROCESSED","2023-10-23T20:04:25.403Z"
7,16.5,"INTERNAL","Descripción 7","PENDING","2023-10-23T20:04:25.403Z"
8,17.5,"PEOPLE","Descripción 8","PROCESSED","2023-10-23T20:04:25.403Z"
9,18.5,"OPERATION","Descripción 9","PENDING",
10,19.5,"INTERNAL","Descripción 10","PROCESSED",
11,20.5,"PEOPLE","Descripción 11","PENDING",
12,21.5,"INTERNAL","Descripción 12","PROCESSED",
13,22.5,"PEOPLE","Descripción 13","PENDING",
14,23.5,"OPERATION","Descripción 14","PROCESSED",
15,24.5,"INTERNAL","Descripción 15","PENDING",
16,25.5,"PEOPLE","Descripción 16","PROCESSED",
17,26.5,"OPERATION","Descripción 17","PENDING",
18,27.5,"INTERNAL","Descripción 18","PROCESSED",
19,28.5,"PEOPLE","Descripción 19","PENDING",
20,29.5,"INTERNAL","Descripción 20","PROCESSED",
21,30.5,"PEOPLE","Descripción 21","PENDING",
22,31.5,"OPERATION","Descripción 22","PROCESSED",
23,32.5,"INTERNAL","Descripción 23","PENDING",
24,33.5,"PEOPLE","Descripción 24","PROCESSED",
25,34.5,"OPERATION","Descripción 25","PENDING",
26,35.5,"INTERNAL","Descripción 26","PROCESSED",
27,36.5,"PEOPLE","Descripción 27","PENDING",
28,37.5,"INTERNAL","Descripción 28","PROCESSED",
29,38.5,"PEOPLE","Descripción 29","PENDING",
30,39.5,"OPERATION","Descripción 30","PROCESSED",
31,40.5,"INTERNAL","Descripción 31","PENDING",
32,41.5,"PEOPLE","Descripción 32","PROCESSED",
33,42.5,"OPERATION","Descripción 33","PENDING",
34,43.5,"INTERNAL","Descripción 34","PROCESSED",
35,44.5,"PEOPLE","Descripción 35","PENDING",
36,45.5,"INTERNAL","Descripción 36","PROCESSED",
37,46.5,"PEOPLE","Descripción 37","PENDING",
38,47.5,"OPERATION","Descripción 38","PROCESSED",
39,48.5,"INTERNAL","Descripción 39","PENDING",
40,49.5,"PEOPLE","Descripción 40","PROCESSED",
41,50.5,"OPERATION","Descripción 41","PENDING",
42,51.5,"INTERNAL","Descripción 42","PROCESSED",
43,52.5,"PEOPLE","Descripción 43","PENDING",
44,53.5,"INTERNAL","Descripción 44","PROCESSED",
45,54.5,"PEOPLE","Descripción 45","PENDING",
46,55.5,"OPERATION","Descripción 46","PROCESSED",
47,56.5,"INTERNAL","Descripción 47","PENDING",
48,57.5,"PEOPLE","Descripción 48","PROCESSED",
49,58.5,"OPERATION","Descripción 49","PENDING",
50,59.5,"INTERNAL","Descripción 50","PROCESSED",
51,60.5,"PEOPLE","Descripción 51","PENDING",
52,61.5,"INTERNAL","Descripción 52","PROCESSED",
53,62.5,"PEOPLE","Descripción 53","PENDING",
54,63.5,"OPERATION","Descripción 54","PROCESSED",
55,64.5,"INTERNAL","Descripción 55","PENDING",
